,delta_time,avg_speed,avg_steer,avg_brake,avg_track,TPMS_IR_Temp_Tyre_FL_c
2263,0.002,50.621512,0.000478,-1.016235,43.603174,42.999994
2264,0.012,50.671839,-0.000119,-0.238037,43.5980315,42.999994
2265,0.022,50.67886133,-0.000716333,0.189209,43.59288933,42.999994
2266,0.032,50.6959125,-0.00011925,0.2197265,43.58774725,42.999994
2267,0.042,50.7091648,-0.0004776,0.0274658,43.582605,42.999994
